===== Starting battle of <EvoBot1> vs <RussianRoulette> with memory tape size: 16 =====

[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | >2 | 128 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | >1 | 128 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | >1 | 128 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | >0 | 128 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | >0 | 128 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | >0 | 128 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >128 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >128 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >-127 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >-126 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >-125 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >-125 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >-126 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >-126 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >-127 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >-127 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >128 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >128 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >127 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >127 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >126 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >126 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >125 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >125 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >124 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >124 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >123 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >123 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >122 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >122 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >121 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >121 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >120 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >120 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >119 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >119 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >118 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >118 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >117 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >117 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >116 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >116 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >115 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >115 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >114 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >114 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >113 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >113 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >112 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >112 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >111 ]
[ 128 | 1 | -3 | 0 | 0 | -10< | -1 | 0 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >111 ]
