===== Starting battle of <TheWallmaster> vs <CounterPunch> with memory tape size: 10 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ -127 | 0 | 0 | 0 | 0 | >59 | -78 | 78 | -78 | -95< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >60 | -78 | 78 | -78 | -95< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >61 | -78 | 78 | -78 | -94< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >62 | -78 | 78 | -78 | -94< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >63 | -78 | 78 | -78 | -94< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >64 | -78 | 78 | -78 | -93< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >65 | -78 | 78 | -78 | -93< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >66 | -78 | 78 | -78 | -93< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >67 | -78 | 78 | -78 | -92< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >68 | -78 | 78 | -78 | -92< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >69 | -78 | 78 | -78 | -92< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >70 | -78 | 78 | -78 | -91< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >71 | -78 | 78 | -78 | -91< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >72 | -78 | 78 | -78 | -91< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >73 | -78 | 78 | -78 | -90< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >74 | -78 | 78 | -78 | -90< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >75 | -78 | 78 | -78 | -90< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >76 | -78 | 78 | -78 | -89< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >77 | -78 | 78 | -78 | -89< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | 0 | >78 | -78 | 78 | -78 | -89< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >0 | 78 | -78 | 78 | -78 | -88< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >0 | 78 | -78 | 78 | -78 | -88< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-1 | 78 | -78 | 78 | -78 | -88< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-2 | 78 | -78 | 78 | -78 | -87< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-3 | 78 | -78 | 78 | -78 | -87< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-4 | 78 | -78 | 78 | -78 | -87< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-5 | 78 | -78 | 78 | -78 | -86< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-6 | 78 | -78 | 78 | -78 | -86< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-7 | 78 | -78 | 78 | -78 | -86< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-8 | 78 | -78 | 78 | -78 | -85< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-9 | 78 | -78 | 78 | -78 | -85< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-10 | 78 | -78 | 78 | -78 | -85< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-11 | 78 | -78 | 78 | -78 | -84< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-12 | 78 | -78 | 78 | -78 | -84< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-13 | 78 | -78 | 78 | -78 | -84< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-14 | 78 | -78 | 78 | -78 | -83< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-15 | 78 | -78 | 78 | -78 | -83< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-16 | 78 | -78 | 78 | -78 | -83< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-17 | 78 | -78 | 78 | -78 | -82< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-18 | 78 | -78 | 78 | -78 | -82< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-19 | 78 | -78 | 78 | -78 | -82< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-20 | 78 | -78 | 78 | -78 | -81< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-21 | 78 | -78 | 78 | -78 | -81< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-22 | 78 | -78 | 78 | -78 | -81< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-23 | 78 | -78 | 78 | -78 | -80< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-24 | 78 | -78 | 78 | -78 | -80< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-25 | 78 | -78 | 78 | -78 | -80< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-26 | 78 | -78 | 78 | -78 | -79< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-27 | 78 | -78 | 78 | -78 | -79< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-28 | 78 | -78 | 78 | -78 | -79< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-29 | 78 | -78 | 78 | -78 | -78< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-30 | 78 | -78 | 78 | -78 | -78< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-31 | 78 | -78 | 78 | -78 | -78< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-32 | 78 | -78 | 78 | -78 | -77< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-33 | 78 | -78 | 78 | -78 | -77< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-34 | 78 | -78 | 78 | -78 | -77< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-35 | 78 | -78 | 78 | -78 | -76< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-36 | 78 | -78 | 78 | -78 | -76< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-37 | 78 | -78 | 78 | -78 | -76< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-38 | 78 | -78 | 78 | -78 | -75< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-39 | 78 | -78 | 78 | -78 | -75< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-40 | 78 | -78 | 78 | -78 | -75< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-41 | 78 | -78 | 78 | -78 | -74< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-42 | 78 | -78 | 78 | -78 | -74< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-43 | 78 | -78 | 78 | -78 | -74< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-44 | 78 | -78 | 78 | -78 | -73< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-45 | 78 | -78 | 78 | -78 | -73< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-46 | 78 | -78 | 78 | -78 | -73< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-47 | 78 | -78 | 78 | -78 | -72< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-48 | 78 | -78 | 78 | -78 | -72< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-49 | 78 | -78 | 78 | -78 | -72< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-50 | 78 | -78 | 78 | -78 | -71< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-51 | 78 | -78 | 78 | -78 | -71< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-52 | 78 | -78 | 78 | -78 | -71< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-53 | 78 | -78 | 78 | -78 | -70< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-54 | 78 | -78 | 78 | -78 | -70< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-55 | 78 | -78 | 78 | -78 | -70< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-56 | 78 | -78 | 78 | -78 | -69< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-57 | 78 | -78 | 78 | -78 | -69< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-58 | 78 | -78 | 78 | -78 | -69< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-59 | 78 | -78 | 78 | -78 | -68< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-60 | 78 | -78 | 78 | -78 | -68< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-61 | 78 | -78 | 78 | -78 | -68< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-62 | 78 | -78 | 78 | -78 | -67< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-63 | 78 | -78 | 78 | -78 | -67< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-64 | 78 | -78 | 78 | -78 | -67< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-65 | 78 | -78 | 78 | -78 | -66< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-66 | 78 | -78 | 78 | -78 | -66< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-67 | 78 | -78 | 78 | -78 | -66< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-68 | 78 | -78 | 78 | -78 | -65< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-69 | 78 | -78 | 78 | -78 | -65< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-70 | 78 | -78 | 78 | -78 | -65< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-71 | 78 | -78 | 78 | -78 | -64< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-72 | 78 | -78 | 78 | -78 | -64< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-73 | 78 | -78 | 78 | -78 | -64< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-74 | 78 | -78 | 78 | -78 | -63< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-75 | 78 | -78 | 78 | -78 | -63< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-76 | 78 | -78 | 78 | -78 | -63< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-77 | 78 | -78 | 78 | -78 | -62< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | 0 | >-78 | 78 | -78 | 78 | -78 | -62< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >0 | -78 | 78 | -78 | 78 | -78 | -62< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >0 | -78 | 78 | -78 | 78 | -78 | -61< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >1 | -78 | 78 | -78 | 78 | -78 | -61< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >2 | -78 | 78 | -78 | 78 | -78 | -61< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >3 | -78 | 78 | -78 | 78 | -78 | -60< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >4 | -78 | 78 | -78 | 78 | -78 | -60< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >5 | -78 | 78 | -78 | 78 | -78 | -60< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >6 | -78 | 78 | -78 | 78 | -78 | -59< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >7 | -78 | 78 | -78 | 78 | -78 | -59< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >8 | -78 | 78 | -78 | 78 | -78 | -59< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >9 | -78 | 78 | -78 | 78 | -78 | -58< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >10 | -78 | 78 | -78 | 78 | -78 | -58< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >11 | -78 | 78 | -78 | 78 | -78 | -58< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >12 | -78 | 78 | -78 | 78 | -78 | -57< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >13 | -78 | 78 | -78 | 78 | -78 | -57< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >14 | -78 | 78 | -78 | 78 | -78 | -57< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >15 | -78 | 78 | -78 | 78 | -78 | -56< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >16 | -78 | 78 | -78 | 78 | -78 | -56< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >17 | -78 | 78 | -78 | 78 | -78 | -56< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >18 | -78 | 78 | -78 | 78 | -78 | -55< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >19 | -78 | 78 | -78 | 78 | -78 | -55< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >20 | -78 | 78 | -78 | 78 | -78 | -55< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >21 | -78 | 78 | -78 | 78 | -78 | -54< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >22 | -78 | 78 | -78 | 78 | -78 | -54< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >23 | -78 | 78 | -78 | 78 | -78 | -54< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >24 | -78 | 78 | -78 | 78 | -78 | -53< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >25 | -78 | 78 | -78 | 78 | -78 | -53< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >26 | -78 | 78 | -78 | 78 | -78 | -53< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >27 | -78 | 78 | -78 | 78 | -78 | -52< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >28 | -78 | 78 | -78 | 78 | -78 | -52< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >29 | -78 | 78 | -78 | 78 | -78 | -52< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >30 | -78 | 78 | -78 | 78 | -78 | -51< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >31 | -78 | 78 | -78 | 78 | -78 | -51< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >32 | -78 | 78 | -78 | 78 | -78 | -51< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >33 | -78 | 78 | -78 | 78 | -78 | -50< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >34 | -78 | 78 | -78 | 78 | -78 | -50< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >35 | -78 | 78 | -78 | 78 | -78 | -50< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >36 | -78 | 78 | -78 | 78 | -78 | -49< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >37 | -78 | 78 | -78 | 78 | -78 | -49< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >38 | -78 | 78 | -78 | 78 | -78 | -49< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >39 | -78 | 78 | -78 | 78 | -78 | -48< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >40 | -78 | 78 | -78 | 78 | -78 | -48< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >41 | -78 | 78 | -78 | 78 | -78 | -48< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >42 | -78 | 78 | -78 | 78 | -78 | -47< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >43 | -78 | 78 | -78 | 78 | -78 | -47< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >44 | -78 | 78 | -78 | 78 | -78 | -47< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >45 | -78 | 78 | -78 | 78 | -78 | -46< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >46 | -78 | 78 | -78 | 78 | -78 | -46< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >47 | -78 | 78 | -78 | 78 | -78 | -46< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >48 | -78 | 78 | -78 | 78 | -78 | -45< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >49 | -78 | 78 | -78 | 78 | -78 | -45< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >50 | -78 | 78 | -78 | 78 | -78 | -45< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >51 | -78 | 78 | -78 | 78 | -78 | -44< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >52 | -78 | 78 | -78 | 78 | -78 | -44< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >53 | -78 | 78 | -78 | 78 | -78 | -44< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >54 | -78 | 78 | -78 | 78 | -78 | -43< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >55 | -78 | 78 | -78 | 78 | -78 | -43< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >56 | -78 | 78 | -78 | 78 | -78 | -43< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >57 | -78 | 78 | -78 | 78 | -78 | -42< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >58 | -78 | 78 | -78 | 78 | -78 | -42< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >59 | -78 | 78 | -78 | 78 | -78 | -42< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >60 | -78 | 78 | -78 | 78 | -78 | -41< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >61 | -78 | 78 | -78 | 78 | -78 | -41< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >62 | -78 | 78 | -78 | 78 | -78 | -41< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >63 | -78 | 78 | -78 | 78 | -78 | -40< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >64 | -78 | 78 | -78 | 78 | -78 | -40< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >65 | -78 | 78 | -78 | 78 | -78 | -40< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >66 | -78 | 78 | -78 | 78 | -78 | -39< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >67 | -78 | 78 | -78 | 78 | -78 | -39< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >68 | -78 | 78 | -78 | 78 | -78 | -39< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >69 | -78 | 78 | -78 | 78 | -78 | -38< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
[ -127 | 0 | 0 | >70 | -78 | 78 | -78 | 78 | -78 | -38< | 0 | -12 | 12 | -12 | 12 | -12 | 12 | -12 | -122 ]
