===== Starting battle of <FastClearBot> vs <Backtracker> with memory tape size: 21 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ 128 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | -1< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | -2< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | -3< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-4< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-4 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-3 | 1< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-2 | 1 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-1 | 1 | -1< | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-1 | 1 | -1 | 0< | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-2 | 1 | -1 | 1< | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-2 | 1 | -1 | 2< | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-3 | 1 | -1 | 3< | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-3 | 1 | -1 | 4< | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-4 | 1 | -1 | 4 | 0< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-4 | 1 | -1 | 4 | -1< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-5 | 1 | -1 | 4 | -2< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-5 | 1 | -1 | 4 | -3< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-6 | 1 | -1 | 4 | -4< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-6 | 1 | -1 | 4 | -4 | 0< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-7 | 1 | -1 | 4 | -4 | 1< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-7 | 1 | -1 | 4 | -4 | 1 | 0< | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-8 | 1 | -1 | 4 | -4 | 1 | -1< | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-8 | 1 | -1 | 4 | -4 | 1 | -1 | 0< | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-9 | 1 | -1 | 4 | -4 | 1 | -1 | 1< | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-9 | 1 | -1 | 4 | -4 | 1 | -1 | 2< | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-10 | 1 | -1 | 4 | -4 | 1 | -1 | 3< | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-10 | 1 | -1 | 4 | -4 | 1 | -1 | 4< | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-11 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0< | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-11 | 1 | -1 | 4 | -4 | 1 | -1 | 4< | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-12 | 1 | -1 | 4 | -4 | 1 | -1< | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-12 | 1 | -1 | 4 | -4 | 1< | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-13 | 1 | -1 | 4 | -4< | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-13 | 1 | -1 | 4< | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-14 | 1 | -1< | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-14 | 1< | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-15< | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | >-15 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | >-16 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | >-16 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | >-17 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | >-17 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | >-18 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | >-18 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | >-19 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | >-19 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | >-20 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | >-20 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | >-21 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | >-21 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | >-22 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-22 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-23 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-23 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-24 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-24 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-25 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-25 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-26 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-26 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-27 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 126< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-27 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
