===== Starting battle of <DecoyBot> vs <RandomOscillator> with memory tape size: 12 =====

[ 128 | 10 | >-7 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >-8 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >-9 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | >-10 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | >0 | 0 | 0 | 0< | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | >1 | 0 | 0 | 0< | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 1 | >0 | 0< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 1 | >-1 | 0< | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 1 | -1< | >0 | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 1 | -1< | >1 | 0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 1 | 0< | 1 | >0 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 1 | 0< | 1 | >-1 | 0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 1 | 0< | 1 | -1 | >0 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 1< | 0 | 1 | -1 | >1 | 0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 1< | 0 | 1 | -1 | 1 | >0 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 2< | 0 | 1 | -1 | 1 | >-1 | 0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 2< | 0 | 1 | -1 | 1 | -1 | >0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 1< | 0 | 1 | -1 | 1 | -1 | >0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 1< | 0 | 1 | -1 | 1 | -1 | >0 | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 0< | 0 | 1 | -1 | 1 | -1 | 0 | >1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 0< | 0 | 1 | -1 | 1 | -1 | 0 | >1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10 | 0< | 0 | 1 | -1 | 1 | -1 | 0 | >0 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | >0 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | >0 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -9< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -9< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-2 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -10< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-2 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -11< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-3 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -11< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-3 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -12< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-4 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -12< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-4 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -13< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-5 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -13< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-5 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -14< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-6 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -14< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-6 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -15< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-7 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -15< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-7 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -16< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-8 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -16< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-8 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -17< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-9 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -17< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-9 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -18< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-10 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -18< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-10 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -19< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-11 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -19< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-11 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -20< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-12 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -20< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-12 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -21< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-13 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -21< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-13 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -22< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-14 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -22< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-14 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -23< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-15 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -23< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-15 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -24< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-16 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -24< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-16 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -25< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-17 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -25< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-17 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -26< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-18 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -26< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-18 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -27< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-19 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -27< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-19 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -28< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-20 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -28< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-20 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -29< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-21 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -29< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-21 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -30< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-22 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -30< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-22 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -31< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-23 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -31< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-23 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -32< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-24 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -32< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-24 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -33< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-25 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -33< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-25 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -34< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-26 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -34< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-26 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -35< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-27 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -35< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-27 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -36< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-28 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -36< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-28 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -37< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-29 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -37< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-29 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -38< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-30 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -38< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-30 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -39< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-31 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -39< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-31 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -40< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-32 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -40< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-32 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -41< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-33 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -41< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-33 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -42< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-34 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -42< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-34 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -43< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-35 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -43< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-35 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -44< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-36 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -44< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-36 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -45< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-37 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -45< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-37 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -46< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-38 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -46< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-38 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -47< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-39 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -47< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-39 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -48< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-40 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -48< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-40 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -49< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-41 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -49< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-41 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -50< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-42 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -50< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-42 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -51< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-43 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -51< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-43 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -52< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-44 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -52< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-44 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -53< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-45 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -53< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-45 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -54< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-46 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -54< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-46 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -55< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-47 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -55< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-47 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -56< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-48 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -56< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-48 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -57< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-49 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -57< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-49 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -58< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-50 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -58< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-50 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -59< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-51 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -59< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-51 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -60< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-52 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -60< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-52 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -61< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-53 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -61< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-53 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -62< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-54 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -62< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-54 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -63< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-55 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -63< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-55 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -64< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-56 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -64< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-56 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -65< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-57 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -65< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-57 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -66< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-58 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -66< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-58 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -67< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-59 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -67< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-59 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -68< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-60 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -68< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-60 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -69< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-61 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -69< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-61 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -70< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-62 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -70< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-62 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -71< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-63 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -71< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-63 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -72< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-64 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -72< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-64 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -73< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-65 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -73< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-65 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -74< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-66 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -74< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-66 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -75< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-67 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -75< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-67 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -76< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-68 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -76< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-68 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -77< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-69 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -77< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-69 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -78< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-70 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -78< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-70 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -79< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-71 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -79< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-71 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -80< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-72 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -80< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-72 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -81< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-73 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -81< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-73 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -82< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-74 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 10 | -82< | 0 | 0 | 1 | -1 | 1 | -1 | 0 | 0 | >-74 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
