===== Starting battle of <LightfootPlodder> vs <DoNothingBot> with memory tape size: 10 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >-4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | >-4 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | >-5 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | >-6 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | >-7 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | >0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | >-1 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | >-2 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | >-3 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | >-4 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | >0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | >1 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | >2 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | >3 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | >4 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | >5 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | >6 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | >7 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | 7 | >0 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | 7 | >-1 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | 7 | >-2 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | 7 | >-3 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | 7 | >-4 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | 7 | >-5 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | 7 | >-6 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | 7 | >-7 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | 7 | >-8 | 0 | 0 | 0 | 128< ]
[ 128 | -4 | -7 | -4 | 7 | >-9 | 0 | 0 | 0 | 128< ]
