===== Starting battle of <MetaJSRandomBot> vs <TruthBot> with memory tape size: 16 =====

[ -127 | -2 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0< | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 2< | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0< | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | >1 | 0 | 0 | 0 | -1< | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | >1 | 0 | 0 | 0 | -2< | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | -3< | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | -4< | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | >1 | 0 | 0< | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | >1 | 0 | 1< | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | >0 | 0 | 2< | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | 0 | >0< | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | 0 | >0< | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | 0 | >-1< | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | 0 | -2< | >2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | 0 | -3< | 2 | >-4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | 0< | -3 | 2 | >-4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | -1< | -3 | 2 | >-5 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | -2< | -3 | 2 | >-5 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | -3< | -3 | 2 | >-6 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0 | -4< | -3 | 2 | >-6 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0< | -4 | -3 | 2 | >-7 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 1< | -4 | -3 | 2 | >-7 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 2< | -4 | -3 | 2 | >-8 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 3< | -4 | -3 | 2 | >-8 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 4< | -4 | -3 | 2 | >-9 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 4< | -4 | -3 | 2 | >-9 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 3< | -4 | -3 | 2 | >-10 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 3< | -4 | -3 | 2 | >-10 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 2< | -4 | -3 | 2 | >-11 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 2< | -4 | -3 | 2 | >-11 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 1< | -4 | -3 | 2 | >-12 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 1< | -4 | -3 | 2 | >-12 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0< | -4 | -3 | 2 | >-13 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0 | 0< | -4 | -3 | 2 | >-13 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0< | 0 | -4 | -3 | 2 | >-14 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 1< | 0 | -4 | -3 | 2 | >-14 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 2< | 0 | -4 | -3 | 2 | >-15 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 3< | 0 | -4 | -3 | 2 | >-15 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 4< | 0 | -4 | -3 | 2 | >-16 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 4< | 0 | -4 | -3 | 2 | >-16 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 3< | 0 | -4 | -3 | 2 | >-17 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 3< | 0 | -4 | -3 | 2 | >-17 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 2< | 0 | -4 | -3 | 2 | >-18 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 2< | 0 | -4 | -3 | 2 | >-18 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 1< | 0 | -4 | -3 | 2 | >-19 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 1< | 0 | -4 | -3 | 2 | >-19 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0< | 0 | -4 | -3 | 2 | >-20 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0 | 0< | 0 | -4 | -3 | 2 | >-20 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0< | 0 | 0 | -4 | -3 | 2 | >-21 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 1< | 0 | 0 | -4 | -3 | 2 | >-21 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 2< | 0 | 0 | -4 | -3 | 2 | >-22 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 3< | 0 | 0 | -4 | -3 | 2 | >-22 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 4< | 0 | 0 | -4 | -3 | 2 | >-23 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 4< | 0 | 0 | -4 | -3 | 2 | >-23 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 3< | 0 | 0 | -4 | -3 | 2 | >-24 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 3< | 0 | 0 | -4 | -3 | 2 | >-24 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 2< | 0 | 0 | -4 | -3 | 2 | >-25 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 2< | 0 | 0 | -4 | -3 | 2 | >-25 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 1< | 0 | 0 | -4 | -3 | 2 | >-26 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 1< | 0 | 0 | -4 | -3 | 2 | >-26 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0< | 0 | 0 | -4 | -3 | 2 | >-27 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0 | 0< | 0 | 0 | -4 | -3 | 2 | >-27 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0< | 0 | 0 | 0 | -4 | -3 | 2 | >-28 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 1< | 0 | 0 | 0 | -4 | -3 | 2 | >-28 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 2< | 0 | 0 | 0 | -4 | -3 | 2 | >-29 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 3< | 0 | 0 | 0 | -4 | -3 | 2 | >-29 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 4< | 0 | 0 | 0 | -4 | -3 | 2 | >-30 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 4< | 0 | 0 | 0 | -4 | -3 | 2 | >-30 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 3< | 0 | 0 | 0 | -4 | -3 | 2 | >-31 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 3< | 0 | 0 | 0 | -4 | -3 | 2 | >-31 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 2< | 0 | 0 | 0 | -4 | -3 | 2 | >-32 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 2< | 0 | 0 | 0 | -4 | -3 | 2 | >-32 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 1< | 0 | 0 | 0 | -4 | -3 | 2 | >-33 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 1< | 0 | 0 | 0 | -4 | -3 | 2 | >-33 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0< | 0 | 0 | 0 | -4 | -3 | 2 | >-34 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2 | 0< | 0 | 0 | 0 | -4 | -3 | 2 | >-34 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -2< | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-35 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | -1< | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-35 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | 0< | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-36 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | 1< | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-36 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | 2< | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-37 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | 2< | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-37 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | 1< | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-38 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | 1< | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-38 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | 0< | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-39 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127 | 0< | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-39 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-40 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -126< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-40 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -125< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-41 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -124< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-41 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -123< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-42 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -123< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-42 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -124< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-43 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -124< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-43 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -125< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-44 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -125< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-44 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -126< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-45 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -126< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-45 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-46 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-46 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-47 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-47 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-48 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-48 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 126< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-49 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 126< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-49 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 125< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-50 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 125< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-50 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 124< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-51 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 124< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-51 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 123< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-52 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 123< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-52 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 122< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-53 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 122< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-53 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 121< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-54 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 121< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-54 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 120< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-55 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 120< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-55 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 119< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-56 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 119< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-56 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 118< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-57 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 118< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-57 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 117< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-58 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 117< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-58 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 116< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-59 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 116< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-59 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 115< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-60 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 115< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-60 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 114< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-61 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 114< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-61 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 113< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-62 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 113< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-62 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 112< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-63 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 112< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-63 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 111< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-64 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 111< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-64 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 110< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-65 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 110< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-65 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 109< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-66 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 109< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-66 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 108< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-67 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 108< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-67 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 107< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-68 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 107< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-68 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 106< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-69 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 106< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-69 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 105< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-70 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 105< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-70 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 104< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-71 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 104< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-71 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 103< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-72 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 103< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-72 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 102< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-73 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 102< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-73 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 101< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-74 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 101< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-74 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 100< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-75 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 100< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-75 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 99< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-76 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 99< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-76 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 98< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-77 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 98< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-77 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 97< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-78 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 97< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-78 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 96< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-79 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 96< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-79 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 95< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-80 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 95< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-80 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 94< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-81 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 94< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-81 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 93< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-82 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 93< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-82 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 92< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-83 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 92< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-83 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 91< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-84 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 91< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-84 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 90< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-85 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 90< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-85 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 89< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-86 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 89< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-86 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 88< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-87 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 88< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-87 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 87< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-88 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 87< | 0 | 0 | 0 | 0 | 0 | -4 | -3 | 2 | >-88 | 2 | -4 | 2 | -4 | 2 | 128 ]
